Team,Group,isHome,Serial,Code,Rating,RatingOnScore,StInGS_1,StInGS_2,StInGS_3,StInGS_4
Mexico,A,1,1,MEX,3.03124246456924,1.03894995315756,0.633,0.228,0.105,0.034
South Korea,A,0,3,KOR,2.68421892822945,0.920008597908358,0.209,0.375,0.274,0.142
Czech Republic,A,0,4,CZE,2.39835318373158,0.822028906304368,0.115,0.262,0.374,0.249
South Africa,A,0,2,RSA,1.86012054974529,0.63755116280344,0.043,0.135,0.247,0.575
Switzerland,B,0,7,SUI,3.35797278836921,1.15093586605462,0.552,0.344,0.088,0.016
Canada,B,1,5,CAN,2.69486593029057,0.923657828354937,0.41,0.465,0.111,0.014
Bosnia and Herzegovina,B,0,8,BIH,1.62825011479376,0.558078213889815,0.032,0.148,0.584,0.236
Qatar,B,0,6,QAT,0.993751471630772,0.340605562560224,0.006,0.043,0.217,0.734
Brazil,C,0,9,BRA,3.8114064976716,1.30634901315393,0.544,0.313,0.115,0.028
Morocco,C,0,10,MAR,3.46801638157112,1.18865300262115,0.365,0.42,0.192,0.023
Scotland,C,0,12,SCO,2.63377860877512,0.902720318218803,0.083,0.242,0.55,0.125
Haiti,C,0,11,HAI,1.33995845978156,0.459267048180839,0.008,0.025,0.143,0.824
United States,D,1,13,USA,2.54060014802383,0.870783659055313,0.293,0.253,0.267,0.187
Paraguay,D,0,14,PAR,3.03298161689851,1.03954604279808,0.247,0.26,0.238,0.255
Turkey,D,0,16,TUR,3.01563137200253,1.03359929444896,0.245,0.267,0.25,0.238
Australia,D,0,15,AUS,2.93034012696987,1.00436595661235,0.215,0.22,0.245,0.32
Germany,E,0,17,GER,3.59458350628477,1.23203353381572,0.467,0.361,0.165,0.007
Ecuador,E,0,20,ECU,3.49138928349753,1.19666399997469,0.43,0.378,0.182,0.01
Ivory Coast,E,0,19,CIV,2.5614250395152,0.877921332894459,0.102,0.253,0.577,0.068
Curaçao,E,0,18,CUW,0.540974019299881,0.185417345718973,0.001,0.008,0.076,0.915
Netherlands,F,0,21,NED,3.91265912354082,1.34105307003275,0.492,0.359,0.116,0.033
Japan,F,0,22,JPN,3.74008229116239,1.28190283905935,0.432,0.396,0.134,0.038
Sweden,F,0,24,SWE,2.3896518145045,0.819046536119021,0.045,0.125,0.443,0.387
Tunisia,F,0,23,TUN,2.30305146558684,0.78936450655422,0.031,0.12,0.307,0.542
Belgium,G,0,25,BEL,3.10282650951886,1.06348518615741,0.484,0.283,0.16,0.073
Iran,G,0,27,IRN,2.75556675505391,0.944462867800522,0.288,0.318,0.258,0.136
Egypt,G,0,26,EGY,2.52447833054608,0.865257950799011,0.186,0.295,0.35,0.169
New Zealand,G,0,28,NZL,1.75592976244574,0.601840059237957,0.042,0.104,0.232,0.622
Spain,H,0,29,ESP,4.64200243604918,1.59103346890329,0.834,0.148,0.017,0.001
Uruguay,H,0,32,URU,3.32211844507359,1.1386468892661,0.147,0.696,0.122,0.035
Cape Verde,H,0,30,CPV,1.84580417955772,0.632644266601761,0.013,0.083,0.567,0.337
Saudi Arabia,H,0,31,KSA,1.62214198289014,0.555984668609515,0.006,0.073,0.294,0.627
France,I,0,33,FRA,4.15401718266384,1.42377787583468,0.531,0.298,0.148,0.023
Norway,I,0,36,NOR,3.53572635058076,1.21186040683019,0.243,0.362,0.333,0.062
Senegal,I,0,35,SEN,3.42928288369187,1.17537720357912,0.221,0.297,0.404,0.078
Iraq,I,0,34,IRQ,1.80828679573682,0.619785287282581,0.005,0.043,0.115,0.837
Argentina,J,0,37,ARG,4.53122949302495,1.55306634970668,0.803,0.155,0.037,0.005
Austria,J,0,39,AUT,3.29428189047169,1.12910598732976,0.136,0.469,0.294,0.101
Algeria,J,0,38,ALG,2.90551849212125,0.995858410065117,0.049,0.291,0.46,0.2
Jordan,J,0,40,JOR,2.04735260257844,0.701724429968407,0.012,0.085,0.209,0.694
Colombia,K,0,44,COL,4.01497210603807,1.37612056120688,0.557,0.316,0.103,0.024
Portugal,K,0,42,POR,3.71624700771136,1.27373336171982,0.363,0.415,0.168,0.054
DR Congo,K,0,41,COD,2.53221215807518,0.867908698749069,0.043,0.127,0.435,0.395
Uzbekistan,K,0,43,UZB,2.46735636710643,0.845679556152733,0.037,0.142,0.294,0.527
England,L,0,45,ENG,3.92771435772379,1.34621320982098,0.655,0.273,0.06,0.012
Croatia,L,0,46,CRO,3.36141679813467,1.15211629085611,0.305,0.506,0.145,0.044
Panama,L,0,48,PAN,1.97278970532097,0.676168203596411,0.024,0.132,0.496,0.348
Ghana,L,0,47,GHA,1.70930087492567,0.585858137279877,0.016,0.089,0.299,0.596
